id,label,avg_y_speed,x_variance,x_range
90,1,1.1399999999999881,2588.2863742236877,143.99794540619257
91,1,1.7400000000000075,4301.33731776708,187.9823995830688
92,0,3.3999999999999946,11.193598030163129,10.0
93,1,0.8400000000000047,2653.666850361552,145.99791687016744
94,1,1.0800000000000174,4520.435207255576,187.9973176136403
95,1,0.8400000000000046,803.0430375136078,79.9992448154942
96,1,0.6600000000000029,5029.406101995489,199.9971463974897
97,0,2.79999999999999,11.63873505512137,10.0
98,0,5.0,10.784205693296602,10.0
99,1,1.6799999999999786,2220.4774871677387,131.99811662234316
100,0,2.0,11.56755536201029,10.0
101,1,1.5,1012.2597586978676,89.99656244639198
102,0,5.0,11.423324150596876,10.0
103,0,3.5999999999999965,11.693877551020408,12.0
104,0,5.200000000000019,11.666666666666666,10.0
105,0,4.399999999999984,12.66389658356417,12.0
106,1,1.379999999999996,3041.52926385267,153.9985462698263
107,1,1.379999999999996,1844.970680128852,119.99828783849381
108,0,2.799999999999982,12.535189288723824,12.0
109,1,1.6799999999999786,1656.1825885693256,113.99837344656908
110,1,1.1399999999999886,836.227773458173,81.99883002297076
111,1,1.0199999999999896,4497.565791296887,187.99822531641132
112,1,1.799999999999982,852.4769841126565,83.99679161663255
113,1,1.379999999999996,4530.373054470213,187.99822531641132
114,0,2.600000000000016,11.666666666666666,10.0
115,1,0.8999999999999884,1681.759819184459,115.9955693753497
116,0,2.3999999999999897,11.449719990260524,10.0
117,1,1.6799999999999786,2425.8472301142842,137.9947290844677
118,0,3.8000000000000074,12.2608445848894,12.0
119,1,1.620000000000004,2571.3070521727905,139.9980024782427
120,1,1.3200000000000167,1534.045052995488,109.99843051861933
121,1,1.0199999999999907,2037.5622057189712,125.99518742494877
122,0,3.799999999999992,11.666666666666666,10.0
123,1,1.0199999999999911,4842.664959037752,191.99266655230286
124,1,1.5599999999999774,2864.86804536282,151.99419435390647
125,0,4.399999999999984,11.54671469966325,10.0
126,1,1.620000000000004,3193.874393602287,161.98483368328272
127,0,3.600000000000011,12.577499999999997,12.0
128,1,1.6799999999999808,2102.80847458173,131.98764226045262
129,0,4.399999999999984,12.66389658356417,12.0
130,1,1.2599999999999933,4709.631651484476,191.98202510611281
131,0,6.0,12.380316446508928,12.0
132,1,1.799999999999986,3062.8586526451822,155.98539539871672
133,1,0.8399999999999929,2387.8218917663653,137.99472908446774
134,0,2.799999999999982,12.53518928872382,12.0
135,0,5.3999999999999835,11.498582230623816,10.0
136,0,2.6000000000000068,11.344612101813748,10.0
137,1,0.9599999999999932,2827.6424796939973,149.98595711415066
138,1,0.8999999999999955,1733.435001309694,113.98932740675451
139,1,0.6599999999999974,1099.147596891699,91.99138703001242
140,0,5.0,12.181459566074953,12.0
141,0,2.0,12.56037537106196,12.0
142,1,0.659999999999997,956.9605986011886,91.99463826115698
143,1,0.6599999999999971,804.6702219170302,83.99213598392441
144,1,1.560000000000002,2441.210001734043,143.99160771311517
145,0,4.0,12.48,12.0
146,1,0.7199999999999991,4796.9700819646105,195.9816506291569
147,1,0.840000000000003,2314.079366297444,135.98726778349663
148,0,3.3999999999999955,12.654320987654321,12.0
149,0,4.600000000000011,11.589218088661172,10.0
150,1,1.1399999999999924,3556.0590946311454,169.99009243909427
151,0,2.6000000000000023,11.25,10.0
152,1,1.0200000000000036,3860.4430188336437,177.9671794939038
153,1,0.6599999999999973,913.6429137828983,85.98414290154898
154,1,1.3799999999999966,4777.086956423565,195.98857716507337
155,0,3.8000000000000056,11.045364891518735,10.0
156,0,4.799999999999984,12.608496459808414,12.0
157,0,3.1999999999999966,11.988980716253444,12.0
158,1,0.96,4600.991623908568,191.9645981057838
159,0,5.600000000000016,11.344612101813748,10.0
160,0,2.6000000000000063,11.650230111768568,10.0
161,1,1.0800000000000018,854.2640414944552,95.4637628742102
162,1,0.8400000000000025,1422.4631301568186,124.29905336524666
163,1,0.7199999999999992,676.250045145983,89.27957172103189
164,0,4.0,12.307692307692308,12.0
165,1,1.139999999999999,209.53824705461943,48.26865739953132
166,1,1.3199999999999958,430.96513433736806,69.41854350617086
167,1,1.6200000000000025,238.36128753760974,52.370286206316905
168,0,4.800000000000008,11.666666666666666,10.0
169,1,0.6599999999999986,469.35307213893645,72.7365086198846
170,0,6.0,12.181459566074953,12.0
171,1,1.799999999999998,375.4204126118375,61.098551393783964
172,1,0.6000000000000005,758.3490896240505,87.56046812095074
173,0,2.399999999999999,11.102040816326532,10.0
